scaff start end length NumWin
scaffold1_25991295 7584891 7586337 1446 3
scaffold1_25991295 17897046 17897355 309 3
scaffold10_15062905 258594 264877 6283 5
scaffold10_15062905 13455145 13455673 528 4
scaffold10723_10455 408 3307 2899 6
scaffold109_1060542 473373 473592 219 2
scaffold11_13529635 3346110 3347031 921 3
scaffold11_13529635 5380367 5380666 299 3
scaffold11_13529635 9645028 9645430 402 3
scaffold111_1019678 249501 253254 3753 14
scaffold113_1005509 752163 752815 652 2
scaffold118_952963 139644 144896 5252 3
scaffold1183_55038 38690 39650 960 4
scaffold12_13443846 3205342 3205546 204 2
scaffold12_13443846 5836911 5837626 715 2
scaffold12_13443846 7651672 7652218 546 5
scaffold12_13443846 9789049 9789807 758 7
scaffold12_13443846 9802625 9805763 3138 3
scaffold12_13443846 9861353 9861679 326 3
scaffold12_13443846 12694123 12697863 3740 8
scaffold13_12996478 949469 952056 2587 2
scaffold13_12996478 4557772 4558751 979 4
scaffold1353_50258 11025 12450 1425 6
scaffold14_12630789 3992026 3992921 895 4
scaffold14_12630789 7053236 7055145 1909 11
scaffold15_12544384 1108587 1115125 6538 2
scaffold15_12544384 5296506 5301891 5385 7
scaffold15_12544384 5550494 5550825 331 3
scaffold15_12544384 5607497 5619659 12162 11
scaffold15_12544384 6124399 6124716 317 3
scaffold15_12544384 6298591 6298795 204 2
scaffold15_12544384 7624231 7624478 247 2
scaffold15_12544384 8595988 8596628 640 5
scaffold15_12544384 8608021 8608918 897 6
scaffold15_12544384 10383236 10384447 1211 3
scaffold1537_46524 12191 12398 207 2
scaffold156_433693 405101 406729 1628 4
scaffold16_12220143 5582333 5584259 1926 12
scaffold16_12220143 7089033 7091081 2048 2
scaffold1692_43307 10917 12186 1269 3
scaffold17_11767850 956490 957384 894 5
scaffold17_11767850 7089697 7092601 2904 3
scaffold17_11767850 8239735 8240427 692 3
scaffold17_11767850 11583809 11584837 1028 5
scaffold1732_42470 0 6697 6697 4
scaffold1743_42221 25622 26330 708 2
scaffold177_337375 57234 57565 331 2
scaffold18_10761044 1174217 1175472 1255 4
scaffold18_10761044 5614804 5615749 945 3
scaffold18_10761044 6568422 6569710 1288 11
scaffold18_10761044 8551422 8553174 1752 6
scaffold180_334148 26528 27778 1250 6
scaffold18221_6441 54 4275 4221 2
scaffold19_10581841 2218256 2219020 764 5
scaffold19_10581841 2356129 2356460 331 2
scaffold19_10581841 4116504 4117291 787 5
scaffold19_10581841 4121157 4122926 1769 3
scaffold19_10581841 5384633 5385529 896 5
scaffold19_10581841 8531845 8533832 1987 2
scaffold19_10581841 9359871 9361518 1647 4
scaffold1929_39211 18235 19641 1406 2
scaffold2_22354274 3367168 3367970 802 2
scaffold20357_5856 3430 3740 310 3
scaffold21_10161493 857621 859815 2194 12
scaffold21_10161493 5899197 5899810 613 4
scaffold21_10161493 8843893 8847446 3553 8
scaffold2126_36529 14745 15532 787 2
scaffold22_8815566 510125 511318 1193 4
scaffold2346_34399 29340 32355 3015 23
scaffold24_7948270 6439674 6440547 873 3
scaffold25_7721883 4477883 4479019 1136 5
scaffold25_7721883 6573070 6574107 1037 2
scaffold26_7557582 4687667 4687887 220 2
scaffold26_7557582 5464196 5464551 355 3
scaffold26405_4674 17 320 303 3
scaffold2925_29387 1 2140 2139 7
scaffold2925_29387 2977 7732 4755 3
scaffold2981_28964 16551 18283 1732 3
scaffold2981_28964 24922 28733 3811 2
scaffold3_21451142 5944543 5945553 1010 3
scaffold3_21451142 11002544 11002777 233 2
scaffold3_21451142 11981427 11984989 3562 19
scaffold3_21451142 12038633 12041298 2665 6
scaffold3_21451142 12092939 12098030 5091 4
scaffold3_21451142 15338335 15338650 315 2
scaffold3_21451142 18830234 18831723 1489 7
scaffold31_7046607 4128841 4129052 211 2
scaffold31163_4036 0 3307 3307 16
scaffold32930_3830 2834 3041 207 2
scaffold33_6547121 454932 459054 4122 5
scaffold33_6547121 1289161 1289497 336 3
scaffold34_6262321 2756116 2766897 10781 5
scaffold34_6262321 3094447 3094853 406 2
scaffold34_6262321 3108263 3109023 760 2
scaffold36_5715340 4796877 4797261 384 3
scaffold39_5409082 4421830 4422430 600 4
scaffold39_5409082 5295731 5296070 339 3
scaffold4_21100006 874268 874506 238 2
scaffold4_21100006 10758424 10762373 3949 3
scaffold4_21100006 11636331 11642396 6065 8
scaffold4_21100006 11666015 11667731 1716 15
scaffold4_21100006 11676873 11677345 472 2
scaffold4_21100006 13528028 13532677 4649 6
scaffold4_21100006 15908358 15911709 3351 3
scaffold4_21100006 19242729 19242951 222 2
scaffold4_21100006 19326364 19326784 420 3
scaffold4_21100006 19402678 19402892 214 2
scaffold40_4792918 4071533 4071782 249 2
scaffold41_4732019 1840099 1840644 545 2
scaffold41_4732019 1972435 1974876 2441 14
scaffold41_4732019 2461715 2469071 7356 8
scaffold41_4732019 3135196 3136825 1629 3
scaffold41_4732019 3137785 3138003 218 2
