scaff start end length
scaffold1_25991295 21915090 21915191 101
scaffold10_15062905 954199 954507 308
scaffold10_15062905 4052630 4052833 203
scaffold10_15062905 9571775 9572303 528
scaffold1026_61876 52793 52932 139
scaffold1062_59977 40514 41084 570
scaffold118_952963 148123 150242 2119
scaffold118_952963 394991 395093 102
scaffold12_13443846 7664058 7664170 112
scaffold12_13443846 9818716 9818819 103
scaffold120_900580 512306 512412 106
scaffold13_12996478 5645274 5645384 110
scaffold14_12630789 10233656 10233766 110
scaffold15_12544384 4868539 4868638 99
scaffold15_12544384 6091992 6092097 105
scaffold15_12544384 8067238 8067356 118
scaffold15_12544384 8606904 8607015 111
scaffold15_12544384 12523789 12523900 111
scaffold155_440948 310663 310772 109
scaffold155_440948 311940 312333 393
scaffold16_12220143 1715766 1715869 103
scaffold16_12220143 5780750 5780849 99
scaffold1613_44924 17401 18532 1131
scaffold16674_6969 1730 1838 108
scaffold17_11767850 29133 31620 2487
scaffold17_11767850 9018079 9018216 137
scaffold17_11767850 11585581 11585814 233
scaffold1717_42765 37806 37920 114
scaffold18_10761044 1160803 1160902 99
scaffold18_10761044 2041396 2042393 997
scaffold18_10761044 5619622 5619722 100
scaffold19_10581841 3680773 3680885 112
scaffold19_10581841 6153791 6154256 465
scaffold19_10581841 6276876 6277227 351
scaffold19_10581841 9381091 9381192 101
scaffold2_22354274 9707891 9708110 219
scaffold20_10339243 7288926 7289396 470
scaffold21_10161493 856783 856900 117
scaffold21_10161493 5972963 5973064 101
scaffold21_10161493 5974911 5975043 132
scaffold21_10161493 7240220 7240336 116
scaffold21_10161493 7243808 7243911 103
scaffold21_10161493 8882375 8882507 132
scaffold2126_36529 12782 13024 242
scaffold22_8815566 3286910 3287120 210
scaffold22_8815566 4638588 4638691 103
scaffold23_8152026 5992246 5992351 105
scaffold24_7948270 7561824 7561929 105
scaffold2614_31829 1541 2167 626
scaffold2634_31679 15847 16022 175
scaffold273_187928 12023 18753 6730
scaffold286_177745 56848 56957 109
scaffold3_21451142 12328086 12330606 2520
scaffold3_21451142 18993890 18994102 212
scaffold30_7483686 511608 512467 859
scaffold30_7483686 2000412 2000543 131
scaffold31_7046607 2690518 2698515 7997
scaffold31_7046607 2738064 2738375 311
scaffold32_6892495 3086966 3087065 99
scaffold37305_3423 2410 2510 100
scaffold4_21100006 10749134 10749303 169
scaffold4_21100006 11685266 11685367 101
scaffold4_21100006 17291688 17292434 746
scaffold4_21100006 18691399 18691673 274
scaffold4_21100006 19125297 19125396 99
scaffold40_4792918 2797095 2797198 103
scaffold4094_22668 9081 9181 100
scaffold41_4732019 4030926 4031208 282
scaffold46_4242896 1259599 1259751 152
scaffold47_4158293 1462545 1462662 117
scaffold5_19632047 3221369 3221468 99
scaffold5_19632047 9005615 9005714 99
scaffold50_4036370 3854754 3854853 99
scaffold52_3862006 1210567 1210666 99
scaffold52_3862006 3228197 3228386 189
scaffold5292_18608 1805 3105 1300
scaffold53_3837357 2804380 2804612 232
scaffold57_3336272 1366207 1366316 109
scaffold57_3336272 3018016 3018126 110
scaffold6_19132642 952646 952967 321
scaffold6_19132642 1864284 1865000 716
scaffold6_19132642 2058985 2059650 665
scaffold6_19132642 2982622 2982737 115
scaffold6_19132642 18140852 18142216 1364
scaffold609_93951 58408 58513 105
scaffold62_2896931 78422 78522 100
scaffold65_2763911 990225 990488 263
scaffold65_2763911 993412 994771 1359
scaffold65_2763911 995784 995893 109
scaffold664_86941 44893 45929 1036
scaffold6738_15298 224 1445 1221
scaffold6902_15027 5133 5582 449
scaffold7_18583372 6991938 6992038 100
scaffold7_18583372 15643366 15643739 373
scaffold7_18583372 16649422 16649580 158
scaffold7_18583372 17654912 17655594 682
scaffold7_18583372 17675514 17675627 113
scaffold7062_14752 3694 4003 309
scaffold72_2417607 301774 302016 242
scaffold72_2417607 586888 587505 617
scaffold753_77909 6056 7154 1098
scaffold8_16897533 4598890 4599015 125
scaffold8_16897533 11573271 11573377 106
scaffold8_16897533 13076551 13081196 4645
scaffold8_16897533 14685778 14685911 133
scaffold80_1929857 308365 308464 99
scaffold83_1810967 1440038 1440137 99
scaffold93_1584619 714953 715088 135
scaffold952_65925 63999 64204 205
scaffold97_1423002 680952 681063 111
scaffold98247_1274 0 250 250
